,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t
1,0,100,15,7,7,100,-2522.87874528034,0,0,1,0.111111111111111
2,0,101,15,7,7,100,1.30093302041807,0,0,2,0.222222222222222
3,0,101,14,7,7,100,1.30093302041807,0,0,3,0.333333333333333
4,0,98,14,7,7,100,477.555332198981,0,0,4,0.444444444444444
5,0,97,15,7,7,100,151.435299768685,0,0,5,0.555555555555556
6,0,96,15,7,7,100,1.30093302041807,0,0,6,0.666666666666667
7,0,93,14,7,7,100,500.411812612415,0,0,7,0.777777777777778
8,0,90,13,7,7,100,500.411812612415,0,0,8,0.888888888888889
9,0,89,13,7,7,100,1.30093302041807,0,0,9,1
10,0,87,13,7,7,100,301.680949293576,0,0,10,1.11111111111111
11,0,89,13,7,7,100,301.680949293576,0,0,11,1.22222222222222
12,0,86,12,7,7,100,500.411812612415,0,0,12,1.33333333333333
13,0,82,12,7,7,100,602.385590105105,0,0,13,1.44444444444444
14,0,81,12,7,7,100,1.30093302041807,0,0,14,1.55555555555556
15,0,87,12,7,7,100,778.368343355874,0,0,15,1.66666666666667
16,0,89,12,7,7,100,301.680949293576,0,0,16,1.77777777777778
17,0,88,12,7,7,100,1.30093302041807,0,0,17,1.88888888888889
18,0,87,11,7,7,100,151.435299768685,0,0,18,2
19,0,86,11,7,7,100,1.30093302041807,0,0,19,2.11111111111111
20,0,88,11,7,7,100,301.680949293576,0,0,20,2.22222222222222
21,0,79,11,7,7,100,954.387250144515,0,0,21,2.33333333333333
22,0,84,11,7,7,100,699.230502883409,0,0,22,2.44444444444444
23,0,80,11,7,7,100,602.385590105105,0,0,23,2.55555555555556
24,0,81,11,7,7,100,1.30093302041807,0,0,24,2.66666666666667
25,0,81,11,7,7,100,-2522.87874528034,0,0,25,2.77777777777778
26,0,83,11,7,7,100,301.680949293576,0,0,26,2.88888888888889
27,0,89,11,7,7,100,778.368343355874,0,0,27,3
28,0,86,11,7,7,100,477.555332198981,0,0,28,3.11111111111111
29,0,85,11,7,7,100,1.30093302041807,0,0,29,3.22222222222222
30,0,90,12,7,7,100,707.742115314434,0,0,30,3.33333333333333
